scene_id,im_id,obj_id,IoU
48,1,6,0.00031381163456635155
48,36,6,7.737841915889659e-05
48,47,6,0.00019657951641438963
48,83,6,0.0002410025706940874
48,112,6,0.00032674399607907203
48,1024,6,0.331351892178212
48,1027,6,0.8778325123152709
48,1059,6,0.9224672639558925
48,1074,6,0.3155916959280478
48,1075,6,0.33345794392523365
48,1083,6,0.3353834567591314
48,1087,6,0.9214141784209562
48,1090,6,0.8949195906432749
48,1094,6,0.3321201091901729
48,1097,6,0.3359088528025144
48,1103,6,0.3344736842105263
48,1104,6,0.33487328405491024
48,1107,6,0.3343856879768482
48,1113,6,0.9245101805608913
48,1119,6,0.005471207769115032
48,1120,6,0.9282183112517303
48,1122,6,0.9186138613861387
48,1124,6,0.9359694901645925
48,1126,6,0.9445121951219512
48,1128,6,0.8198095238095238
48,1132,6,0.9258955987717502
48,1133,6,0.9317574511819117
48,1137,6,0.9087893864013267
48,1540,6,0.9080162541558922
48,1542,6,0.8878199310219641
48,1543,6,0.8654772524531669
48,1568,6,0.9155820007437709
48,1569,6,0.924686974397309
48,1571,6,0.925328330206379
48,1572,6,0.8747718145308506
48,1576,6,0.9150961000186602
48,1577,6,0.9201277955271565
48,1579,6,0.9122380239520959
48,1580,6,0.8833733161099834
48,1583,6,0.8920222634508349
48,1586,6,0.9076433121019108
48,1587,6,0.8570127504553734
48,1589,6,0.8624954528919607
48,1597,6,0.916257088846881
48,1605,6,0.9122173665209956
48,1608,6,0.9136553822746292
48,1609,6,0.9188001528467711
48,1611,6,0.920268972142171
48,1619,6,0.9310344827586207
48,1622,6,0.9209017959495606
48,1624,6,0.925462249614792
48,1626,6,0.9225582739356579
48,1631,6,0.9214669738863287
48,1639,6,0.9255769230769231
48,1641,6,0.927594070695553
48,1643,6,0.9086216784553622
48,1644,6,0.9115516584064048
48,1645,6,0.9119508920007673
48,1648,6,0.8865784499054821
48,1649,6,0.9091774562071592
48,1724,6,0.9039881831610044
48,1874,6,0.9190976933514247
48,2040,6,0.8714266719851084
48,2050,6,0.0
48,2051,6,0.860641781270465
48,2066,6,0.8920328595644804
48,2069,6,0.9015428870292888
48,2070,6,0.91121123774185
48,2083,6,0.0
48,2090,6,0.8556390977443609
48,2104,6,0.8776470588235294
48,2133,6,0.8986689051445017
48,2144,6,0.9018724816307182
48,2160,6,0.8575495331359599
48,1,1,0.7975772313789066
48,36,1,0.7977642276422764
48,47,1,0.5971314395464824
48,83,1,0.7943187554494975
48,112,1,0.5893267023718439
48,1024,1,0.5206951587160844
48,1027,1,0.5218640280880945
48,1059,1,0.5027573529411765
48,1074,1,0.5513193026543113
48,1075,1,0.5376685170499603
48,1083,1,0.5166295498521413
48,1087,1,0.5246219176041124
48,1090,1,0.5204463722982241
48,1094,1,0.5436402981485934
48,1097,1,0.523515955178163
48,1103,1,0.543774906412269
48,1104,1,0.5517171306644991
48,1107,1,0.4910389095236378
48,1113,1,0.5093325140179737
48,1119,1,0.47551513839269605
48,1120,1,0.08402973359804239
48,1122,1,0.48765086126368495
48,1124,1,0.47804860276168615
48,1126,1,0.4889178133134994
48,1128,1,0.4937016063792904
48,1132,1,0.5082706766917293
48,1133,1,0.48664293816247506
48,1137,1,0.42727057310179073
48,1540,1,0.5016924564796905
48,1542,1,0.5064624689069892
48,1543,1,0.46387816201674836
48,1568,1,0.4640851315400532
48,1569,1,0.4442725788433445
48,1571,1,0.4413682197496523
48,1572,1,0.44155949203267814
48,1576,1,0.4669408830350501
48,1577,1,0.39405181086519114
48,1579,1,0.48062084652780873
48,1580,1,0.499902496099844
48,1583,1,0.5148221848053472
48,1586,1,0.4628147220607307

48,1,14,0.907533424065327
48,36,14,0.9043662303049306
48,47,14,0.9141124140719774
48,83,14,0.91179147703765
48,112,14,0.9128286719142522
48,1024,14,0.8639709589593627
48,1027,14,0.8423034988601447
48,1059,14,0.8509811734236478
48,1074,14,0.8433849068519104
48,1075,14,0.8229403262440635
48,1083,14,0.8219960535881192
48,1087,14,0.8139559286463799
48,1090,14,0.7859531772575251
48,1094,14,0.8173594658625889
48,1097,14,0.8223883831816211
48,1103,14,0.8221981591770439
48,1104,14,0.8100408514298001
48,1107,14,0.8273381294964028
48,1113,14,0.8525227828406312
48,1119,14,0.837440071356896
48,1120,14,0.8303501945525292
48,1122,14,0.8159380188157167
48,1124,14,0.8312184166198765
48,1126,14,0.8226244343891402
48,1128,14,0.7881007881007881
48,1132,14,0.805248146035368
48,1133,14,0.8285018552875696
48,1137,14,0.7929844738355377
48,1540,14,0.852656233365272
48,1542,14,0.843395225464191
48,1543,14,0.8016443987667009
48,1568,14,0.7904949673134793
48,1569,14,0.8381248659086034
48,1571,14,0.8747378876503697
48,1572,14,0.8396551724137931
48,1576,14,0.8495633187772926
48,1577,14,0.8213362068965517
48,1579,14,0.8220302375809935
48,1580,14,0.7899852102260723
48,1583,14,0.8082485270487413
48,1586,14,0.8482917719433154
48,1587,14,0.8033695883983791
48,1588,14,0.807027027027027
48,1589,14,0.8177377333912288
48,1597,14,0.8329849268346353
48,1605,14,0.867566048341765
48,1608,14,0.8409065903839806
48,1609,14,0.8144654088050315
48,1611,14,0.8126013184913001
48,1619,14,0.8267266937520589
48,1622,14,0.8196112688359903
48,1624,14,0.838987795319673
48,1626,14,0.8394490233713447
48,1631,14,0.8512203276496155
48,1639,14,0.8759977515458123
48,1641,14,0.8534733080187625
48,1643,14,0.8034464189553042
48,1644,14,0.8400306580532136
48,1645,14,0.8150841020075963
48,1648,14,0.8355364617757215
