scene_id,im_id,obj_id,x_offset,y_offset,z_offset,x_angle,y_angle,z_angle
48,36,19,-40.80644736336362,-3.216685550509572,77.20908248845546,-31.711741012492915,53.67666409166525,166.52382224594945
48,47,19,-29.831119202026294,208.2683125429207,-1020.8357206118021,101.32556064651925,39.85358066274332,17.13444714332476
48,83,19,-9.796636773343437,-22.471966309914187,454.1234639193292,-107.21352721681495,66.40401566110212,-128.66860214630165
48,112,19,-35.71291450331191,-27.767832030882694,-8.854394208574035,135.39839215053163,-81.06225535650543,-67.07650106524272
48,1024,19,-102.7452544998886,56.136619344353846,-512.227142898238,-173.17853676936562,52.68251633013639,-145.24958006954594
48,1027,19,5.2551296047128915,21.362839847080163,38.752953494253234,-42.0297377625482,17.18163743316204,2.4824623357835214
48,1059,19,-100.71211518855281,61.51269342092091,-480.4186862141753,172.27626410717627,46.93500177640501,-144.61577011308978
48,1074,19,-53.80440173022032,36.6870817790659,-446.73311118951597,-13.490580682587217,2.2927999229100213,0.29447107848167237
48,1075,19,-100.5426807156515,44.72930429510398,-540.6309886763192,174.86689742151748,56.93215961981462,-152.56390673344436
48,1083,19,-71.22629439398176,48.909644624809985,-367.0388658406479,176.4406673676377,53.72442283467685,-136.78065277868438
48,1087,19,-64.00320881394885,45.74144347555094,-264.2958959630638,-172.56924868635474,65.18389647582376,-141.96534351840322
48,1090,19,-59.48334138373838,34.5721255422171,-471.60100815367514,-18.707545914427538,9.519233037247897,4.9291084333616215
48,1094,19,-96.52054399142614,44.17759623462068,-560.0976481389395,166.9178956145006,61.774234074346786,-146.2682275076279
48,1097,19,-63.866824175021335,46.956472682959074,-330.7270854609154,-174.06525902594188,54.11487235944074,-136.10372375268443
48,1103,19,-57.03483401980856,36.57510116379137,-424.5022831823726,-17.689767176372488,7.86947535455015,6.26127218182988
48,1104,19,0.5837276042854569,35.92360102075203,-75.85473961792945,-52.058159030025976,6.9412799483369385,10.502191982877092
48,1107,19,-94.40373047365298,46.28903890546226,-495.6305005957838,169.34806981503908,65.90662157909283,-144.9752749072649
48,1113,19,-96.09949348410998,43.20563659435703,-441.18994439128824,175.77888393358916,57.30834201910089,-151.06178189201026
48,1119,19,-93.88865481629992,45.17243895937505,-433.773375306468,165.2353134515478,65.29466899977955,-145.00285584759962
48,1120,19,-54.64080115188938,32.968819803646156,-360.6612960973472,-26.6504743311609,8.526991634390411,2.9344284677383428
48,1122,19,-106.79203079817387,47.095524556350675,-518.0847355971094,167.01968241880377,62.97486147005134,-148.59828069382743
48,1124,19,-83.69499403932866,44.24580203437932,-542.9973545283974,-4.480927919453546,11.837267445659114,0.9521292413973843
48,1126,19,-116.2562030606353,50.18028251919876,-603.033074559076,147.22655925298972,73.79709527769589,-129.2239074996423
48,1128,19,-54.62111534378462,39.736175488450726,-384.16899654345934,21.257162465617398,32.3643656658175,2.957150921466872
48,1132,19,-80.54467720584992,37.13743277921623,-546.5495064433447,-7.476591429619644,10.916525063580034,2.823665665644964
48,1133,19,-73.75494337323994,37.30191367819595,-514.0588344958007,-13.392045944389974,6.5939428205185795,5.275469730668908
