obj_id,IoU,cluster
1,0.4082710999185662,0
2,0.7756275917597133,2
3,0.5967937132525241,0
4,0.7957119108785513,2
5,0.8113957165794329,2
6,0.6060179829385032,0
7,0.004514262053067079,1
8,0.0,1
9,0.0,1
10,0.9137747147750979,2
11,0.9209729031641641,2
12,0.6263661618883619,0
13,0.8534422772861984,2
14,0.8642034385156001,2
15,0.8496827365257476,2
16,0.8091895998213625,2
17,0.6898983840837299,0
18,0.5795469451017056,0
19,0.2100873117159666,1
20,0.7226236747992957,2
21,0.565667323711408,0
