scene_id,obj_id,IoU
48,1,0.4444819180530985
48,6,0.7369671176356878
48,14,0.8321488029367514
48,19,0.41413390393495336
48,20,0.664525802743518
49,3,0.859974148490004
49,6,0.7697692669377662
49,9,0.0
49,13,0.8418507688166065
50,2,0.8774534261713475
50,4,0.6003329226924833
50,5,0.7153167603089223
50,10,0.9415675541756533
50,15,0.910168642539277
51,1,0.10452682985329931
51,3,0.8209268127860879
51,4,0.9042449080128927
51,12,0.6589920445117676
51,17,0.6898983840837299
52,5,0.9074746728499434
52,6,0.9212428719862148
52,11,0.8887068167515793
53,4,0.9057443974179843
53,9,0.0
53,13,0.8650337857557905
54,2,0.7570580500271777
54,3,0.494856046893679
54,12,0.9248487398647338
54,15,0.8223985026322219
54,19,0.006040719496979887
55,1,0.9192540873629099
55,3,0.2950404925610899
55,4,0.626682969379484
55,12,0.003997309690911195
55,14,0.8962580740944488
55,16,0.8091895998213625
56,1,0.14840599351730246
56,10,0.8859818753745422
56,11,0.9387204600189206
56,15,0.8534725591852771
57,4,0.865227808456371
57,12,0.9176265534860352
57,18,0.5716510742433577
57,20,0.7543838448564542
57,21,0.565667323711408
58,3,0.5131710655317598
58,7,0.004514262053067079
58,8,0.0
58,11,0.9354914327219923
59,2,0.6923712990806146
59,4,0.8720384593120927
59,6,2.2014110296729333e-05
59,9,0.0
59,15,0.8126912417462144
59,18,0.5874428159600534
