object_id,scene_id,image_id,rotation_error,translation_error
1,48,1,157.84434229532047,166.97329756952954
1,48,36,72.59435416836752,90.35386273266901
1,48,83,163.18050033250168,146.29223232001223
1,48,112,154.25891529139219,46.54358656920768
1,48,1059,110.79779996068343,200.6609424450353
1,48,1075,79.52962827409014,211.65452542388493
1,48,1083,135.8200113679969,219.71977744921082
1,48,1087,85.85664623456435,104.9439618269291
1,48,1094,113.13268715850653,18.968448201697342
1,48,1097,75.49966849729599,725.2459309919018
1,48,1103,136.52748952785416,63.42434930052043
1,48,1104,133.3976856770691,35.681106225201674
1,48,1113,130.51347372651483,45.16551226236125
1,48,1119,114.47208846220303,114.08957421601784
1,48,1120,117.03270937442396,83.62894763547224
1,48,1122,132.2207568574424,312.0426142280287
1,48,1124,90.33927041045462,168.3178985211973
1,48,1126,125.66180003729568,64.42530675418433
1,48,1128,134.996996402862,104.30687499233136
1,48,1132,137.15256182291472,69.30283096173778
1,48,1133,136.920561414422,20.082565203155866
1,48,1137,35.98097683055446,139.428812441568
1,48,1540,135.90113155909202,149.75457972280316
1,48,1542,58.69328155502015,389.5031949709473
1,48,1543,139.71490968867792,114.36246983260772
1,48,1568,48.40053941082858,182.3819698715992
1,48,1569,143.81482962771432,42.99562066274729
1,48,1571,146.77882090087567,77.83093446731067
1,48,1572,39.962533260089394,209.97378902327534
1,48,1576,104.2702051524823,144.5743824294574
1,48,1577,139.81169386770847,214.16634320271902
1,48,1579,155.37470376162304,174.41951272375283
1,48,1580,160.43560527923495,69.64419960003114
1,48,1583,149.26288985081396,106.48332082052454
1,48,1586,154.44426970265656,140.47824309092925
1,48,1587,148.44174070097293,59.535068090768014
1,48,1588,141.0814353692054,73.26673190389596
1,48,1589,151.8150260500411,107.33004954240708
1,48,1597,57.04005932281237,15.658195254712483
1,48,1605,34.509812515906056,120.52396310533344
1,48,1608,144.21741372243403,191.82214060699962
1,48,1609,39.144659018724134,64.63534060726609
1,48,1611,138.53123898288285,94.97416413156814
1,48,1619,95.0826008369172,102.59424763048422
1,48,1622,49.75915019984008,96.35032657735749
1,48,1624,58.04713228576253,200.12004576821164
1,48,1626,58.62483564582042,20.36555246610094
1,48,1631,39.57778532452603,72.44026278208891
1,48,1639,41.91738500456851,137.9053827561628
1,48,1643,28.087912238197987,108.80878651546101
1,48,1644,142.33613178189952,96.22521235028667
1,48,1645,30.18726586809817,101.40606588485102
1,48,1648,34.203204012522654,59.26092759108549
1,48,1724,52.65756329349535,108.89754981382042
1,48,1874,140.22435179350347,234.8629372288048
1,48,2050,159.11533643333206,116.21143320161987
1,48,2066,64.87846967987703,225.08224536764405
1,48,2069,174.06989448229416,137.91177977109567
1,48,2070,143.45948771551937,194.55542326637556
1,48,2090,145.47696519985072,101.42812855300907
1,48,2104,44.91964038107969,127.94319551204926
1,48,2144,142.7064807519745,152.29906872689344
1,48,2160,135.80979270991836,37.84216335587523
1,51,1,117.2593238508952,68.05924563212254
1,51,83,146.95590646586615,38.98919627441052
1,51,100,116.2118715216864,169.41221907075706
1,51,116,113.6112456882068,56.81977803545649
1,51,169,111.44968555459756,43.03399178139954
1,51,240,48.80404969340371,132.46211223716645
1,51,407,102.4306700019277,16.025025890071404
1,51,515,77.32872140550528,47.02431939168016
1,51,520,37.24538037949093,37.549320657224065
1,51,532,69.0611288834687,145.2847473953104
1,51,553,29.581543115709398,98.29868073471273
1,51,618,94.82726897170927,37.78479804716608
1,51,636,74.58911624646859,269.00893510530886
1,51,637,92.50872676915601,24.541563445226668
1,51,649,38.379478041965065,138.00246519294984
1,51,654,91.0638075361588,37.500575163065015
1,51,669,134.22353620343358,396.10919680092474
1,51,672,93.94458217350369,14.765416686549809
1,51,681,42.67864712025573,68.70272723546411
1,51,780,83.38380520936614,46.22166133773556
1,51,1038,56.44771842985344,76.53959002240762
1,51,1057,18.324766189545304,10.135587575444799
1,51,1063,50.82424044664486,21.235499247103153
1,51,1076,53.75607273630589,30.964541278735457
1,51,1091,40.594764189101824,28.374447563836036
1,51,1092,178.13725712836052,153.30324542396434
1,51,1150,57.410681059721504,124.12514053770875
1,51,1182,29.156367567261633,24.486052974449468
1,51,1220,45.24884767714315,199.01621485463684
1,51,1571,41.81764450673172,169.7966030065874
1,51,1584,34.533282975693815,285.1982290604618
1,51,1588,48.39047702553907,186.17160542017126
1,51,1603,163.83538318108066,260.08259132077035
1,51,1611,128.54520507135868,178.86580999323635
1,51,1628,95.49264319396002,316.5648010643166
1,51,1629,67.18061582068381,146.86381312238785
1,51,1645,133.93026383656294,103.8276823059957
1,51,1687,154.21741367835529,121.82418979135653
1,51,1693,48.044657903928886,112.38877643322473
1,51,1698,134.4232938696748,82.01329234370075
1,51,1699,50.24232033896222,735.1427444025827
1,51,1708,59.43347430722579,15.118985135732869
1,51,1709,45.34305891353209,94.21275206945683
1,51,1715,47.554396538026026,384.5058942284096
1,55,89,71.29811712062781,12.078827497331051
1,55,100,160.09480991814263,172.18516499770035
1,55,513,175.44743311171496,248.643453832499
1,55,526,175.97624497340533,722.7525897300173
1,55,563,157.3761460504945,54.06987799911957
1,55,588,164.2484337628361,393.278707223424
1,55,612,179.1247253490656,100.13540200936441
1,55,641,173.2297869194577,218.5218033383978
1,55,654,145.50338494318237,51.66730477261764
1,55,1025,150.55868006898558,47.382944410019626
1,55,1038,179.24265836481143,24.492416335232452
1,55,1041,114.304036111943,94.13033061934357
1,55,1044,154.73787301673534,146.21897968975688
1,55,1049,166.90192506980836,110.85146824568622
1,55,1055,161.41851105940444,217.68621531525295
1,55,1064,114.54835734505615,80.75785639525769
1,55,1100,120.64622224201906,350.32262822604923
1,55,1103,179.66221199319682,200.19249067692738
1,55,1115,92.16908686486461,251.27524709990217
1,55,1120,176.5547943109257,183.75194526554873
1,55,1132,119.7768527062534,262.3139380520476
1,55,1136,76.04781482159262,98.08948419859253
1,55,1164,164.06969896496815,133.77790063802095
1,55,1177,168.83343206482002,162.62316533674695
1,55,1543,47.26199750117794,165.90871004377146
1,55,1563,42.292771248510526,324.00112609304915
1,55,1585,115.49992904403238,83.41860400569936
1,55,1592,169.31269839493444,78.20739579493775
1,55,1603,179.64982664354795,39.640689002084635
1,55,1604,166.54124633965588,1012.3396013011217
1,55,1609,152.60018285044876,109.1862341318437
1,55,1612,167.7050709010693,128.56510402216102
1,55,1643,79.23014848828463,507.3886251064237
1,55,1666,125.06933046498006,243.9338976176407
1,55,1717,170.58082856879844,60.26758235878259
1,56,1,38.240885984504224,123.41308788196578
1,56,24,165.05070367559733,44.049187956239045
1,56,32,176.2900753796306,162.71726769497297
1,56,46,168.55707987555013,110.08858037676048
1,56,53,158.62234047355207,162.2312368068844
1,56,62,176.01106421451877,94.15492892074293
1,56,75,174.15852314850153,81.18781601321801
1,56,98,172.41225450138754,113.23343560865517
1,56,104,159.05176369634532,282.04375015672014
1,56,119,164.3264942213927,272.7346948267986
1,56,140,40.16918088532069,29.466561665645163
1,56,143,46.518520219233174,30.586167228550433
1,56,254,177.52682188116358,213.98361504135093
1,56,357,158.81533285990184,131.28922162407156
1,56,498,152.23438637114933,32.57868335426924
1,56,522,154.77594432035775,79.46563360125242
1,56,527,133.4305063569537,301.91040323959527
1,56,535,143.47597521279033,54.129889145037765
1,56,538,58.29259816824305,34.32801161511231
1,56,551,145.18429137451244,62.274815603038356
1,56,553,152.13586655498452,128.83573906823068
1,56,559,142.58241463188995,89.72790315075477
1,56,563,161.2009648459179,112.43192777108547
1,56,567,154.02924540004963,80.94609502631306
1,56,570,148.22021688158694,142.33308025946823
1,56,575,133.6362620780944,57.7137683922498
1,56,578,138.48048048840045,249.07270774851781
1,56,587,158.443097199016,197.00188260425776
1,56,589,127.80875633005431,255.67227513584334
1,56,596,166.64358671004197,81.28615669372027
1,56,598,159.04645884773242,277.89693666897614
1,56,601,152.17304876421463,119.24671876527702
1,56,603,122.00194480664294,119.2075123018123
1,56,604,143.91160179432217,48.33916178717952
1,56,608,141.43122072122566,96.43234635523048
1,56,628,136.4713299824529,162.6509274352505
1,56,631,134.5632738878822,93.91538732916618
1,56,634,130.16789781143453,88.32027071378549
1,56,644,112.7880523103277,75.333950334878
1,56,653,138.0091837728096,128.14324638277137
1,56,753,150.08044930714485,232.2960953785837
1,56,956,156.2092087344592,53.590200405544046
1,56,1025,44.00337452483177,245.43275182905583
1,56,1028,130.32312531608554,229.9316988852555
1,56,1036,118.96242029398651,169.33578827210874
1,56,1037,142.32570885620535,151.55728577723988
1,56,1044,108.38766677040132,281.0352205957791
1,56,1046,138.08553695581935,110.96766249467987
1,56,1047,147.96653290578425,287.01733441860875
1,56,1048,150.52108828744417,138.03358604643225
1,56,1049,147.49309960038698,130.89642651389465
1,56,1054,106.62003620317597,236.34263788211828
1,56,1062,143.5329211488842,92.10619324269813
1,56,1064,138.7680525305486,104.1740151312862
1,56,1070,154.71911093169896,32.78592500852831
1,56,1078,47.60582675387867,230.50383888186784
1,56,1087,135.71651357929946,500.8264902811526
1,56,1097,140.30480680467363,193.53279401434645
1,56,1108,136.36497080093534,123.02898705528273
1,56,1116,48.620441900330725,366.8587265706692
1,56,1124,125.69754915065134,209.81642442316783
1,56,1135,147.55208239227593,117.32696839765065
1,56,1146,141.0765817444441,161.01327719098404
1,56,1158,131.74748459327284,185.16924750732835
1,56,1171,54.24661012948629,180.14527147551615
1,56,1202,146.98454496495333,539.1427556824206
2,50,620,172.01412081383916,69.64914148901367
2,50,623,147.31494364250798,142.03039582606394
2,50,629,121.91433511437187,268.06608188078604
2,50,633,178.88281760613447,733.6548371790057
